experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.25,S-IoU,587,121,60,82.90960451977402,90.72642967542504,86.64206642066421
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.3,S-IoU,575,105,71,84.55882352941177,89.00928792569658,86.72699849170438
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.35,S-IoU,561,95,83,85.51829268292683,87.11180124223603,86.3076923076923
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.4,S-IoU,550,72,96,88.42443729903538,85.13931888544892,86.75078864353313
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.45,S-IoU,533,54,115,90.80068143100512,82.25308641975309,86.3157894736842
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.5,S-IoU,512,43,134,92.25225225225225,79.25696594427245,85.26228143213987
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.55,S-IoU,489,35,156,93.32061068702289,75.81395348837209,83.66124893071
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.6,S-IoU,458,24,193,95.0207468879668,70.35330261136713,80.84730803177405
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.65,S-IoU,425,21,231,95.2914798206278,64.78658536585365,77.13248638838476
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.7,S-IoU,380,12,285,96.93877551020408,57.14285714285714,71.90160832544937
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.75,S-IoU,314,7,360,97.81931464174455,46.58753709198813,63.11557788944723
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.8,S-IoU,245,4,435,98.39357429718876,36.029411764705884,52.7448869752422
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.85,S-IoU,166,1,517,99.40119760479041,24.30453879941435,39.05882352941176
juniperus_seg_homogeneous_20260905_105741,test,dense_baseline,50,0.9,S-IoU,85,0,602,100.0,12.372634643377003,22.020725388601033
juniperus_seg_homogeneous_20260905_105741,test,btm_forest_ensemble_uniform,50,0.25,S-IoU,713,331,12,68.29501915708812,98.34482758620689,80.61051441492368
