experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.25,S-IoU,519,243,41,68.11023622047244,92.67857142857143,78.51739788199697
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.3,S-IoU,506,216,55,70.08310249307479,90.19607843137256,78.87763055339049
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.35,S-IoU,498,188,65,72.59475218658892,88.45470692717583,79.74379503602883
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.4,S-IoU,494,162,76,75.3048780487805,86.66666666666667,80.58727569331158
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.45,S-IoU,480,143,104,77.04654895666133,82.1917808219178,79.53603976801989
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.5,S-IoU,453,116,140,79.61335676625659,76.39123102866779,77.96901893287436
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.55,S-IoU,431,102,168,80.86303939962477,71.95325542570951,76.14840989399292
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.6,S-IoU,411,92,194,81.70974155069582,67.93388429752066,74.18772563176896
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.65,S-IoU,387,78,227,83.22580645161291,63.029315960912044,71.73308619091752
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.7,S-IoU,359,61,270,85.47619047619047,57.07472178060413,68.4461391801716
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.75,S-IoU,320,48,315,86.95652173913044,50.39370078740157,63.8085742771685
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.8,S-IoU,267,33,384,89.0,41.013824884792626,56.15141955835961
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.85,S-IoU,203,21,463,90.625,30.48048048048048,45.61797752808989
juniperus_btm_homogeneous_20260824_103026,test,dense_baseline,50,0.9,S-IoU,94,6,587,94.0,13.803230543318648,24.07170294494238
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.1,S-IoU,552,300,24,64.7887323943662,95.83333333333334,77.3109243697479
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.12,S-IoU,544,275,28,66.42246642246641,95.1048951048951,78.21710999281092
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.15,S-IoU,535,252,31,67.97966963151208,94.52296819787986,79.08351810790836
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.18,S-IoU,526,233,35,69.30171277997364,93.76114081996435,79.69696969696969
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.2,S-IoU,522,222,36,70.16129032258065,93.54838709677419,80.18433179723502
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.22,S-IoU,516,210,39,71.07438016528926,92.97297297297298,80.56206088992973
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.25,S-IoU,512,203,42,71.60839160839161,92.4187725631769,80.69345941686366
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.3,S-IoU,500,180,53,73.52941176470588,90.41591320072332,81.10300081103001
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.35,S-IoU,490,163,66,75.03828483920367,88.12949640287769,81.05872622001654
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.4,S-IoU,479,143,83,77.0096463022508,85.23131672597864,80.91216216216216
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.45,S-IoU,471,124,99,79.15966386554622,82.63157894736842,80.85836909871244
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.5,S-IoU,452,110,123,80.42704626334519,78.6086956521739,79.50747581354442
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.55,S-IoU,428,96,159,81.67938931297711,72.91311754684838,77.04770477047705
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.6,S-IoU,408,84,188,82.92682926829268,68.45637583892618,74.99999999999999
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.65,S-IoU,376,68,236,84.68468468468468,61.43790849673203,71.21212121212122
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.7,S-IoU,341,55,285,86.11111111111111,54.47284345047924,66.73189823874756
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.75,S-IoU,298,38,344,88.69047619047619,46.41744548286604,60.940695296523515
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.8,S-IoU,243,28,409,89.66789667896678,37.26993865030675,52.65438786565547
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.85,S-IoU,176,20,490,89.79591836734694,26.426426426426424,40.835266821345705
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_uniform,50,0.9,S-IoU,48,1,639,97.95918367346938,6.986899563318777,13.043478260869565
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.25,S-IoU,457,171,92,72.77070063694268,83.24225865209472,77.65505522514867
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.3,S-IoU,448,147,103,75.29411764705883,81.30671506352087,78.18499127399652
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.35,S-IoU,430,127,130,77.19928186714542,76.78571428571429,76.99194270367055
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.4,S-IoU,405,110,167,78.64077669902912,70.8041958041958,74.51701931922722
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.45,S-IoU,379,84,205,81.8574514038877,64.8972602739726,72.39732569245463
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.5,S-IoU,350,71,243,83.1353919239905,59.02192242833052,69.0335305719921
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.55,S-IoU,322,59,281,84.51443569553805,53.39966832504146,65.4471544715447
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.6,S-IoU,286,53,326,84.36578171091446,46.73202614379085,60.1472134595163
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.65,S-IoU,240,45,387,84.21052631578947,38.27751196172249,52.63157894736842
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.7,S-IoU,195,35,443,84.78260869565217,30.56426332288401,44.93087557603687
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.75,S-IoU,148,21,505,87.57396449704143,22.6646248085758,36.009732360097324
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.8,S-IoU,79,10,589,88.76404494382022,11.826347305389222,20.871862615587848
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.85,S-IoU,21,1,663,95.45454545454545,3.070175438596491,5.94900849858357
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_soup,50,0.9,S-IoU,2,0,688,100.0,0.2898550724637681,0.5780346820809248
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.1,S-IoU,552,276,18,66.66666666666666,96.84210526315789,78.96995708154506
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.12,S-IoU,549,257,22,68.11414392059554,96.14711033274956,79.73856209150327
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.15,S-IoU,546,238,25,69.64285714285714,95.6217162872154,80.59040590405905
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.18,S-IoU,541,227,26,70.44270833333334,95.41446208112875,81.04868913857678
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.2,S-IoU,538,221,27,70.88274044795784,95.2212389380531,81.2688821752266
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.22,S-IoU,532,211,30,71.60161507402422,94.66192170818505,81.53256704980843
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.25,S-IoU,524,201,36,72.27586206896551,93.57142857142857,81.55642023346303
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.3,S-IoU,517,188,42,73.33333333333333,92.4865831842576,81.80379746835443
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.35,S-IoU,509,171,51,74.8529411764706,90.89285714285714,82.09677419354838
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.4,S-IoU,502,149,60,77.11213517665131,89.32384341637011,82.76999175597692
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.45,S-IoU,493,126,73,79.64458804523424,87.10247349823321,83.20675105485232
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.5,S-IoU,482,113,90,81.00840336134453,84.26573426573427,82.60497000856898
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.55,S-IoU,463,94,119,83.12387791741472,79.55326460481099,81.29938542581212
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.6,S-IoU,439,80,153,84.58574181117534,74.1554054054054,79.02790279027903
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.65,S-IoU,416,70,185,85.59670781893004,69.21797004991681,76.54093836246551
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.7,S-IoU,384,60,238,86.48648648648648,61.7363344051447,72.04502814258912
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.75,S-IoU,337,46,300,87.98955613577023,52.90423861852433,66.07843137254902
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.8,S-IoU,286,35,358,89.09657320872275,44.409937888198755,59.27461139896374
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.85,S-IoU,212,23,447,90.2127659574468,32.16995447647951,47.42729306487695
juniperus_btm_homogeneous_20260824_103026,test,random_ensemble,50,0.9,S-IoU,97,6,582,94.1747572815534,14.285714285714285,24.808184143222505
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_weighted,50,0.1,S-IoU,552,300,24,64.7887323943662,95.83333333333334,77.3109243697479
juniperus_btm_homogeneous_20260824_103026,test,btm_forest_ensemble_weighted,50,0.12,S-IoU,543,274,28,66.46266829865361,95.09632224168126,78.2420749279539
