mechanism,split,score_thr,metric,score_min_exportado,TP,FP,FN,precision,recall,f1
btm_forest_ensemble_uniform,field_work,0.01,IoU,0.2500693798065185,1086,330,685,76.69491525423729,61.32128740824393,68.15186695952306
btm_forest_ensemble_uniform,field_work,0.05,IoU,0.2500693798065185,1086,330,685,76.69491525423729,61.32128740824393,68.15186695952306
btm_forest_ensemble_uniform,field_work,0.1,IoU,0.2500693798065185,1086,330,685,76.69491525423729,61.32128740824393,68.15186695952306
btm_forest_ensemble_uniform,field_work,0.15,IoU,0.2500693798065185,1086,330,685,76.69491525423729,61.32128740824393,68.15186695952306
btm_forest_ensemble_uniform,field_work,0.2,IoU,0.2500693798065185,1086,330,685,76.69491525423729,61.32128740824393,68.15186695952306
btm_forest_ensemble_uniform,field_work,0.25,IoU,0.2500693798065185,1086,330,685,76.69491525423729,61.32128740824393,68.15186695952306
btm_forest_ensemble_uniform,field_work,0.3,IoU,0.2500693798065185,1057,273,714,79.47368421052632,59.68379446640317,68.17155756207674
btm_forest_ensemble_uniform,field_work,0.35,IoU,0.2500693798065185,1008,219,763,82.15158924205379,56.91699604743084,67.24482988659106
btm_forest_ensemble_uniform,field_work,0.4,IoU,0.2500693798065185,968,175,803,84.68941382327209,54.6583850931677,66.4378860672615
btm_forest_ensemble_uniform,field_work,0.45,IoU,0.2500693798065185,922,149,849,86.08776844070962,52.06098249576511,64.88388458831808
btm_forest_ensemble_uniform,field_work,0.5,IoU,0.2500693798065185,858,111,913,88.54489164086688,48.4472049689441,62.62773722627738
btm_forest_ensemble_uniform,field_work,0.55,IoU,0.2500693798065185,808,84,963,90.5829596412556,45.62394127611519,60.68343972962823
btm_forest_ensemble_uniform,field_work,0.6,IoU,0.2500693798065185,723,65,1048,91.751269035533,40.82439299830604,56.50644783118406
btm_forest_ensemble_uniform,field_work,0.7,IoU,0.2500693798065185,564,30,1207,94.94949494949496,31.846414455110107,47.6955602536998
btm_forest_ensemble_uniform,field_work,0.8,IoU,0.2500693798065185,340,9,1431,97.42120343839542,19.198193111236588,32.07547169811321
btm_forest_ensemble_uniform,field_work,0.9,IoU,0.2500693798065185,76,0,1695,100.0,4.291360813099943,8.229561451001622
btm_forest_ensemble_uniform,field_work,0.01,S-IoU,0.2500693798065185,1182,234,490,83.47457627118644,70.69377990430623,76.55440414507773
btm_forest_ensemble_uniform,field_work,0.05,S-IoU,0.2500693798065185,1182,234,490,83.47457627118644,70.69377990430623,76.55440414507773
btm_forest_ensemble_uniform,field_work,0.1,S-IoU,0.2500693798065185,1182,234,490,83.47457627118644,70.69377990430623,76.55440414507773
btm_forest_ensemble_uniform,field_work,0.15,S-IoU,0.2500693798065185,1182,234,490,83.47457627118644,70.69377990430623,76.55440414507773
btm_forest_ensemble_uniform,field_work,0.2,S-IoU,0.2500693798065185,1182,234,490,83.47457627118644,70.69377990430623,76.55440414507773
btm_forest_ensemble_uniform,field_work,0.25,S-IoU,0.2500693798065185,1182,234,490,83.47457627118644,70.69377990430623,76.55440414507773
btm_forest_ensemble_uniform,field_work,0.3,S-IoU,0.2500693798065185,1134,196,526,85.26315789473684,68.3132530120482,75.85284280936455
btm_forest_ensemble_uniform,field_work,0.35,S-IoU,0.2500693798065185,1069,158,586,87.12306438467807,64.59214501510574,74.18459403192227
btm_forest_ensemble_uniform,field_work,0.4,S-IoU,0.2500693798065185,1009,134,645,88.27646544181977,61.00362756952842,72.14873078298177
btm_forest_ensemble_uniform,field_work,0.45,S-IoU,0.2500693798065185,957,114,702,89.35574229691878,57.68535262206148,70.10989010989012
btm_forest_ensemble_uniform,field_work,0.5,S-IoU,0.2500693798065185,876,93,786,90.40247678018576,52.707581227436826,66.59064994298745
btm_forest_ensemble_uniform,field_work,0.55,S-IoU,0.2500693798065185,814,78,852,91.25560538116592,48.85954381752701,63.64347146207976
btm_forest_ensemble_uniform,field_work,0.6,S-IoU,0.2500693798065185,721,67,955,91.49746192893402,43.01909307875895,58.52272727272728
btm_forest_ensemble_uniform,field_work,0.7,S-IoU,0.2500693798065185,565,29,1153,95.1178451178451,32.88707799767171,48.87543252595155
btm_forest_ensemble_uniform,field_work,0.8,S-IoU,0.2500693798065185,337,12,1398,96.56160458452722,19.423631123919307,32.341650671785025
btm_forest_ensemble_uniform,field_work,0.9,S-IoU,0.2500693798065185,76,0,1690,100.0,4.303510758776897,8.251900108577633
btm_forest_ensemble_uniform,test,0.01,IoU,0.0100194718688726,665,1271,25,34.34917355371901,96.37681159420288,50.64737242955065
