experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.25,S-IoU,612,143,41,81.05960264900662,93.72128637059724,86.93181818181819
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.3,S-IoU,606,121,44,83.35625859697386,93.23076923076923,88.01742919389977
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.35,S-IoU,598,103,51,85.30670470756063,92.14175654853621,88.5925925925926
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.4,S-IoU,587,83,59,87.61194029850746,90.86687306501547,89.20972644376899
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.45,S-IoU,581,64,69,90.07751937984496,89.38461538461539,89.72972972972973
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.5,S-IoU,561,56,86,90.92382495948137,86.70788253477589,88.76582278481013
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.55,S-IoU,538,45,113,92.28130360205832,82.642089093702,87.19611021069692
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.6,S-IoU,502,34,148,93.65671641791045,77.23076923076924,84.65430016863407
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.65,S-IoU,479,28,172,94.47731755424064,73.57910906298002,82.72884283246978
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.7,S-IoU,443,23,217,95.06437768240343,67.12121212121212,78.68561278863233
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.75,S-IoU,397,15,270,96.35922330097088,59.52023988005997,73.58665430954588
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.8,S-IoU,334,11,339,96.81159420289856,49.62852897473997,65.6188605108055
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.85,S-IoU,244,5,435,97.99196787148594,35.93519882179676,52.586206896551715
juniperus_seg_by_size_20260828_072323,test,expert_E_small_solo,50,0.9,S-IoU,131,1,556,99.24242424242425,19.068413391557495,31.990231990231994
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.25,S-IoU,622,159,32,79.64148527528809,95.10703363914374,86.68989547038328
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.3,S-IoU,613,132,38,82.28187919463087,94.16282642089094,87.82234957020056
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.35,S-IoU,605,114,45,84.14464534075104,93.07692307692308,88.38568298027758
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.4,S-IoU,595,94,55,86.35703918722787,91.53846153846153,88.8722927557879
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.45,S-IoU,576,74,77,88.61538461538461,88.208269525268,88.41135840368379
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.5,S-IoU,566,53,89,91.437802907916,86.41221374045801,88.85400313971743
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.55,S-IoU,547,35,110,93.98625429553265,83.25722983257229,88.29701372074254
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.6,S-IoU,526,26,138,95.28985507246377,79.21686746987952,86.51315789473684
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.65,S-IoU,497,22,170,95.76107899807322,74.5127436281859,83.81112984822934
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.7,S-IoU,450,16,219,96.56652360515021,67.2645739910314,79.29515418502203
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.75,S-IoU,408,11,267,97.3747016706444,60.44444444444444,74.58866544789763
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.8,S-IoU,318,6,359,98.14814814814815,46.971935007385525,63.536463536463536
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.85,S-IoU,220,2,463,99.09909909909909,32.210834553440705,48.61878453038674
juniperus_seg_by_size_20260828_072323,test,expert_E_medium_solo,50,0.9,S-IoU,91,1,598,98.91304347826086,13.20754716981132,23.30345710627401
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.25,S-IoU,617,142,33,81.29117259552042,94.92307692307692,87.57984386089426
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.3,S-IoU,602,113,43,84.19580419580419,93.33333333333333,88.52941176470588
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.35,S-IoU,589,90,54,86.74521354933727,91.601866251944,89.10741301059002
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.4,S-IoU,581,71,68,89.11042944785275,89.52234206471495,89.31591083781707
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.45,S-IoU,565,59,87,90.5448717948718,86.65644171779141,88.55799373040753
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.5,S-IoU,554,44,98,92.64214046822742,84.96932515337423,88.64000000000001
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.55,S-IoU,534,29,124,94.84902309058614,81.15501519756839,87.46928746928747
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.6,S-IoU,499,20,162,96.14643545279384,75.49167927382754,84.57627118644069
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.65,S-IoU,476,16,186,96.7479674796748,71.90332326283988,82.49566724436743
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.7,S-IoU,431,12,233,97.29119638826185,64.90963855421687,77.86811201445349
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.75,S-IoU,378,10,291,97.42268041237114,56.502242152466366,71.52317880794702
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.8,S-IoU,297,7,376,97.69736842105263,44.13075780089153,60.798362333674504
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.85,S-IoU,203,4,477,98.06763285024155,29.852941176470587,45.772266065388955
juniperus_seg_by_size_20260828_072323,test,expert_E_large_solo,50,0.9,S-IoU,87,1,602,98.86363636363636,12.62699564586357,22.393822393822393
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.25,S-IoU,1221,211,431,85.26536312849163,73.91041162227603,79.1828793774319
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.3,S-IoU,1165,185,475,86.29629629629629,71.03658536585365,77.92642140468227
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.35,S-IoU,1113,161,522,87.36263736263736,68.07339449541284,76.52114128566517
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.4,S-IoU,1061,135,565,88.7123745819398,65.25215252152522,75.19489723600284
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.45,S-IoU,1008,117,615,89.60000000000001,62.10720887245841,73.36244541484717
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.5,S-IoU,926,94,700,90.7843137254902,56.94956949569495,69.99244142101286
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.55,S-IoU,871,77,761,91.87763713080169,53.370098039215684,67.51937984496124
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.6,S-IoU,805,62,829,92.84890426758939,49.265605875153,64.37425029988006
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.65,S-IoU,725,50,930,93.54838709677419,43.80664652567976,59.67078189300411
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.7,S-IoU,647,32,1021,95.28718703976435,38.78896882494004,55.134213890072424
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.75,S-IoU,547,26,1136,95.46247818499127,32.50148544266192,48.49290780141844
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.8,S-IoU,428,14,1284,96.83257918552036,25.0,39.74001857010213
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.85,S-IoU,273,9,1464,96.80851063829788,15.716753022452504,27.043090638930163
juniperus_seg_by_size_20260828_072323,field_work,expert_E_small_solo,50,0.9,S-IoU,111,4,1647,96.52173913043478,6.313993174061433,11.85264281900694
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.25,S-IoU,1227,255,422,82.79352226720647,74.40873256519103,78.37751517087193
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.3,S-IoU,1180,205,469,85.1985559566787,71.55852031534263,77.78510217534608
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.35,S-IoU,1130,174,511,86.65644171779141,68.860450944546,76.7402376910017
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.4,S-IoU,1088,145,556,88.24006488240065,66.18004866180048,75.63434132777198
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.45,S-IoU,1029,121,622,89.47826086956522,62.32586311326469,73.47375937165297
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.5,S-IoU,966,98,681,90.78947368421053,58.65209471766849,71.26521578753228
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.55,S-IoU,899,83,757,91.54786150712832,54.287439613526566,68.15769522365429
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.6,S-IoU,827,69,844,92.29910714285714,49.49132256134052,64.43319049474094
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.65,S-IoU,754,50,932,93.78109452736318,44.72123368920522,60.562248995983936
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.7,S-IoU,663,43,1028,93.90934844192634,39.207569485511534,55.319148936170215
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.75,S-IoU,556,29,1155,95.04273504273503,32.49561659848042,48.432055749128914
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.8,S-IoU,430,11,1302,97.50566893424036,24.82678983833718,39.576622181316154
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.85,S-IoU,263,8,1488,97.04797047970479,15.019988577955454,26.01384767556874
juniperus_seg_by_size_20260828_072323,field_work,expert_E_medium_solo,50,0.9,S-IoU,83,1,1686,98.80952380952381,4.69191633691351,8.958445763626552
