experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.25,S-IoU,634,194,24,76.57004830917874,96.35258358662614,85.32974427994615
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.3,S-IoU,619,172,32,78.25537294563844,95.08448540706605,85.85298196948682
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.35,S-IoU,606,144,41,80.80000000000001,93.66306027820711,86.75733715103793
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.4,S-IoU,596,121,52,83.12412831241282,91.9753086419753,87.32600732600733
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.45,S-IoU,585,101,62,85.27696793002916,90.41731066460588,87.77194298574645
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.5,S-IoU,570,85,76,87.02290076335878,88.23529411764706,87.6249039200615
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.55,S-IoU,554,64,93,89.64401294498381,85.62596599690882,87.58893280632411
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.6,S-IoU,533,49,121,91.5807560137457,81.49847094801224,86.24595469255662
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.65,S-IoU,502,38,158,92.96296296296296,76.06060606060606,83.66666666666666
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.7,S-IoU,463,25,201,94.87704918032787,69.7289156626506,80.38194444444444
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.75,S-IoU,412,17,257,96.03729603729604,61.58445440956651,75.04553734061929
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.8,S-IoU,346,12,329,96.64804469273743,51.25925925925926,66.98935140367861
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.85,S-IoU,248,6,436,97.63779527559055,36.25730994152047,52.87846481876333
juniperus_seg_by_region_20260831_073029,test,expert_E_region0_solo,50,0.9,S-IoU,83,2,606,97.6470588235294,12.046444121915819,21.44702842377261
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.25,S-IoU,584,114,67,83.66762177650429,89.70814132104454,86.58265381764268
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.3,S-IoU,571,101,75,84.97023809523809,88.39009287925697,86.6464339908953
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.35,S-IoU,564,84,79,87.03703703703704,87.71384136858475,87.37412858249418
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.4,S-IoU,555,70,89,88.8,86.18012422360249,87.47044917257683
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.45,S-IoU,546,65,96,89.36170212765957,85.04672897196261,87.15083798882681
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.5,S-IoU,531,57,114,90.3061224489796,82.32558139534883,86.13138686131386
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.55,S-IoU,520,41,130,92.6916221033868,80.0,85.87943848059454
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.6,S-IoU,500,29,153,94.5179584120983,76.5696784073507,84.60236886632826
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.65,S-IoU,475,20,180,95.95959595959596,72.51908396946564,82.6086956521739
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.7,S-IoU,447,12,208,97.38562091503267,68.24427480916032,80.25134649910234
juniperus_seg_by_region_20260831_073029,test,expert_E_region1_solo,50,0.75,S-IoU,400,10,258,97.5609756097561,60.790273556231,74.90636704119851
