split,imagen,tipo,idx,area,bucket,n_solapan,cobertura,detectada
test,Img_105.tif,gt,0,586.501759893504,medium,1,93.68057618751939,True
test,Img_105.tif,gt,1,1301.499056148481,large,1,97.84391575522805,True
test,Img_105.tif,gt,2,1591.5052798668808,large,1,94.49388040751549,True
test,Img_105.tif,gt,3,941.5036957204477,medium,1,99.58193981621908,True
test,Img_105.tif,gt,4,296.5004640604157,medium,1,90.85159468797298,True
test,Img_105.tif,pred,0,1567.5,,1,94.49388040751546,True
test,Img_105.tif,pred,1,291.0,,1,90.85159468797298,True
test,Img_105.tif,pred,2,635.5,,1,93.68057618751935,True
test,Img_105.tif,pred,3,1405.0,,1,99.5819398162191,True
test,Img_105.tif,pred,4,1415.0,,1,97.84391575522802,True
test,Img_105.tif,pred,5,505.5,,0,0.0,False
test,Img_105.tif,pred,6,126.5,,0,0.0,False
test,Img_106.tif,gt,0,3444.5043040665623,large,1,98.4176296134005,True
test,Img_106.tif,pred,0,3590.5,,1,98.41762961340054,True
test,Img_106.tif,pred,1,1034.0,,0,0.0,False
test,Img_127.tif,gt,0,4700.251936092163,large,1,97.82058550155837,True
test,Img_127.tif,gt,1,1354.500112064511,large,1,83.88696298917486,True
test,Img_127.tif,gt,2,1694.4993761239025,large,0,0.0,False
test,Img_127.tif,gt,3,1583.5022717911027,large,1,96.17913980429037,True
test,Img_127.tif,pred,0,4731.5,,1,97.82058550155843,True
test,Img_127.tif,pred,1,1585.5,,1,96.17913980429036,True
test,Img_127.tif,pred,2,1181.0,,1,83.88696298917488,True
test,Img_134.tif,gt,0,7209.492448055295,large,1,98.06947890483619,True
test,Img_134.tif,gt,1,1052.2464639303678,medium,2,92.90818542151878,True
test,Img_134.tif,gt,2,4806.50255991808,large,1,98.82187783201188,True
test,Img_134.tif,gt,3,952.4972480880641,medium,1,96.98826340918241,True
test,Img_134.tif,gt,4,1279.4995198074882,large,1,96.48314489520509,True
test,Img_134.tif,gt,5,265.750816063488,medium,1,98.21232830394345,True
test,Img_134.tif,gt,6,679.5030718300136,medium,1,88.72296488061109,True
test,Img_134.tif,pred,0,7404.5,,2,85.58049000119776,True
test,Img_134.tif,pred,1,1281.0,,1,96.48314489520509,True
test,Img_134.tif,pred,2,4924.5,,1,98.82187783201192,True
test,Img_134.tif,pred,3,990.0,,1,96.98826340918244,True
test,Img_134.tif,pred,4,1049.5,,1,92.90818542151878,True
test,Img_134.tif,pred,5,290.0,,1,98.21232830394345,True
test,Img_134.tif,pred,6,689.0,,1,88.72296488061109,True
test,Img_139.tif,gt,0,1098.2497600327683,medium,1,94.26342763306965,True
test,Img_139.tif,gt,1,549.503808114688,medium,1,97.06517333938459,True
test,Img_139.tif,gt,2,782.5031040081917,medium,1,99.4168339869242,True
test,Img_139.tif,gt,3,1745.5041600102402,large,1,93.67638837660243,True
test,Img_139.tif,gt,4,226.75088001843193,medium,1,90.18701048927737,True
test,Img_139.tif,gt,5,650.5009600839679,medium,2,95.2054496505256,True
test,Img_139.tif,gt,6,894.5019837214721,medium,1,99.32920885836072,True
test,Img_139.tif,gt,7,1972.5007522017281,large,3,97.81065957849955,True
test,Img_139.tif,gt,8,968.25083199488,medium,1,97.9344228455338,True
test,Img_139.tif,gt,9,1154.4987198689278,medium,1,97.15231733029329,True
