epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,experiment,run,train/seg_loss,train/sem_loss,metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/seg_loss,val/sem_loss
1,4.72476,1.05548,0.67233,0.94791,0.85988,0.77273,0.86831,0.61033,0.89862,0.57069,0.93896,0.000648148,0.000648148,0.000648148,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
2,9.99451,1.13185,0.77597,0.96371,0.82649,0.76503,0.83942,0.58331,0.95574,0.6376,0.974,0.00128878,0.00128878,0.00128878,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
3,14.8873,1.14742,0.75866,0.97687,0.83631,0.73182,0.82928,0.54872,1.03824,0.74986,0.99152,0.00190301,0.00190301,0.00190301,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
4,20.16,1.17289,0.77001,0.98198,0.89374,0.72879,0.8414,0.57379,0.90753,0.64089,0.93254,0.0018812,0.0018812,0.0018812,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
5,25.3315,1.19794,0.78591,0.99529,0.87708,0.73517,0.84809,0.55552,0.95338,0.6486,0.92895,0.0018416,0.0018416,0.0018416,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
6,30.7476,1.19364,0.77786,0.98577,0.79818,0.75455,0.81116,0.56007,0.96705,0.77015,0.95012,0.001802,0.001802,0.001802,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
7,35.737,1.14293,0.76289,0.97272,0.83026,0.74111,0.83637,0.55967,1.04354,0.64787,1.00101,0.0017624,0.0017624,0.0017624,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
8,41.4991,1.18066,0.78578,0.9808,0.82873,0.74848,0.84072,0.57796,0.99372,0.66257,0.98194,0.0017228,0.0017228,0.0017228,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
9,46.5283,1.16784,0.81798,0.96901,0.85744,0.7197,0.81683,0.57472,0.94066,0.70289,0.94152,0.0016832,0.0016832,0.0016832,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
10,51.4557,1.15182,0.77416,0.97211,0.83475,0.75771,0.8472,0.57529,0.96722,0.68466,0.93875,0.0016436,0.0016436,0.0016436,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
11,56.5956,1.16019,0.76547,0.98452,0.84391,0.73636,0.82878,0.56649,0.96933,0.63959,0.93021,0.001604,0.001604,0.001604,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
12,61.5852,1.1458,0.73444,0.97721,0.80434,0.78636,0.84854,0.58196,0.92743,0.62578,0.9325,0.0015644,0.0015644,0.0015644,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
13,85.6366,1.15722,0.73361,0.97078,0.86344,0.80152,0.8718,0.58845,0.94049,0.64905,0.93024,0.0015248,0.0015248,0.0015248,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
14,90.8161,1.15767,0.74479,0.97636,0.85554,0.76667,0.85103,0.58594,0.91201,0.63383,0.92895,0.0014852,0.0014852,0.0014852,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
15,96.573,1.15233,0.74474,0.97695,0.83303,0.77104,0.84434,0.59253,0.87404,0.62397,0.9092,0.0014456,0.0014456,0.0014456,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
16,101.874,1.17455,0.74159,0.97653,0.85703,0.75388,0.8434,0.58795,0.90905,0.66862,0.92328,0.001406,0.001406,0.001406,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
17,106.812,1.11958,0.73044,0.9782,0.83885,0.78788,0.86229,0.59909,0.88005,0.60529,0.91565,0.0013664,0.0013664,0.0013664,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
18,111.703,1.10672,0.72574,0.97091,0.83759,0.74233,0.82985,0.58728,0.89356,0.62584,0.91635,0.0013268,0.0013268,0.0013268,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
19,117.401,1.15801,0.74626,0.96457,0.8501,0.78191,0.85944,0.60444,0.88972,0.60858,0.91841,0.0012872,0.0012872,0.0012872,juniperus_btm_heterogeneous_20260824_091248,E1_scale,,,,,,,,
