model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.05,IoU,597,289,93,67.38148984198645,86.52173913043478,75.76142131979695
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.05,S-IoU,529,357,31,59.706546275395034,94.46428571428571,73.16735822959889
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.1,IoU,593,142,97,80.68027210884354,85.94202898550725,83.22807017543859
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.1,S-IoU,515,220,34,70.06802721088435,93.80692167577413,80.21806853582557
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.2,IoU,590,98,100,85.75581395348837,85.5072463768116,85.63134978229317
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.2,S-IoU,509,179,37,73.98255813953489,93.22344322344323,82.49594813614263
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.25,IoU,588,92,102,86.47058823529412,85.21739130434783,85.83941605839416
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.25,S-IoU,506,174,39,74.41176470588235,92.84403669724772,82.6122448979592
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.3,IoU,588,89,102,86.85376661742984,85.21739130434783,86.02779809802487
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.3,S-IoU,505,172,39,74.59379615952733,92.83088235294117,82.71908271908272
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.4,IoU,586,81,104,87.85607196401799,84.92753623188406,86.36698599852618
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.4,S-IoU,502,165,42,75.26236881559221,92.27941176470588,82.90668868703551
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.5,IoU,581,76,109,88.43226788432268,84.20289855072464,86.26577579806978
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.5,S-IoU,498,159,46,75.79908675799086,91.54411764705883,82.9308909242298
codetr_r50,Co-DETR ResNet-50,test,bbox,50,0.6,IoU,579,68,111,89.48995363214837,83.91304347826087,86.61181750186987
