split,score_thr,precision,recall,f1,TP,FP,FN
test,0.25,62.27876106194691,91.24797406807131,74.0302432610125,563,341,54
test,0.3,63.625997719498294,90.73170731707317,74.79892761394102,558,319,57
test,0.35,64.84284051222352,90.5691056910569,75.57666214382633,557,302,58
test,0.4,66.42685851318944,90.22801302931596,76.5193370165746,554,280,60
test,0.45,67.60736196319019,89.88580750407831,77.17086834733894,551,264,62
test,0.5,68.58573216520651,89.39641109298532,77.62039660056656,548,251,65
test,0.55,69.80645161290323,88.39869281045752,78.01009372746935,541,234,71
test,0.6,71.58034528552457,88.36065573770492,79.09024211298608,539,214,71
test,0.65,73.18741450068399,87.56137479541735,79.73174366616989,535,196,76
test,0.7,75.320970042796,86.13376835236541,80.36529680365297,528,173,85
test,0.75,77.17717717717719,84.26229508196721,80.56426332288402,514,152,96
test,0.8,80.03220611916264,81.87808896210873,80.94462540716613,497,124,110
test,0.85,83.51254480286738,75.8957654723127,79.52218430034131,466,92,148
test,0.9,86.75213675213675,65.27331189710611,74.49541284403671,406,62,216
field_work,0.25,62.43478260869565,70.48429319371728,66.2158007992622,1077,648,451
field_work,0.3,62.954139368671825,69.31147540983606,65.98002496878902,1057,622,468
field_work,0.35,63.958460598656075,68.7007874015748,66.24485922176527,1047,590,477
field_work,0.4,64.94073611977542,68.26229508196721,66.5601023017903,1041,562,484
field_work,0.45,66.04977664326739,67.64705882352942,66.83887633193413,1035,532,495
field_work,0.5,67.30137885751806,66.99346405228758,67.14706845725516,1025,498,505
field_work,0.55,68.52861035422343,65.83769633507853,67.1562082777036,1006,462,522
field_work,0.6,70.53003533568905,65.31413612565446,67.82195039075772,998,417,530
field_work,0.65,71.9324026451139,64.23884514435696,67.86828422876951,979,382,545
field_work,0.7,74.12587412587412,62.63952724885095,67.90035587188612,954,333,569
field_work,0.75,76.06338615512928,59.45241199478487,66.73984632272227,912,287,622
field_work,0.8,78.11355311355311,55.38961038961039,64.8176291793313,853,239,687
field_work,0.85,81.54506437768241,48.624440179142674,60.92184368737475,760,172,803
field_work,0.9,86.70520231213872,36.452004860267316,51.325919589392655,600,92,1046
