experiment,split,mechanism,threshold,metric,TP,FP,FN,precision,recall,f1,mAP50,mAP50_95
juniperus_btm_heterogeneous_20260824_091248,test,dense_baseline,@50,IoU,605,157,85,79.39632545931758,87.68115942028986,83.33333333333333,0.8513881319446335,0.6112447595770498
juniperus_btm_heterogeneous_20260824_091248,test,dense_baseline,@50,S-IoU,519,243,41,68.11023622047244,92.67857142857143,78.51739788199697,0.8513881319446335,0.6112447595770498
juniperus_btm_heterogeneous_20260824_091248,test,dense_baseline,@75,IoU,513,249,177,67.32283464566929,74.34782608695653,70.6611570247934,0.8513881319446335,0.6112447595770498
juniperus_btm_heterogeneous_20260824_091248,test,dense_baseline,@75,S-IoU,440,322,72,57.74278215223097,85.9375,69.07378335949764,0.8513881319446335,0.6112447595770498
juniperus_btm_heterogeneous_20260824_091248,test,expert_E1_scale_solo,@50,IoU,606,147,84,80.47808764940238,87.82608695652175,83.99168399168398,0.8498158689201853,0.5940258333494017
juniperus_btm_heterogeneous_20260824_091248,test,expert_E1_scale_solo,@50,S-IoU,503,250,50,66.79946879150066,90.95840867992767,77.0290964777948,0.8498158689201853,0.5940258333494017
juniperus_btm_heterogeneous_20260824_091248,test,expert_E1_scale_solo,@75,IoU,496,257,194,65.86985391766268,71.8840579710145,68.74566874566875,0.8498158689201853,0.5940258333494017
juniperus_btm_heterogeneous_20260824_091248,test,expert_E1_scale_solo,@75,S-IoU,412,341,81,54.7144754316069,83.56997971602435,66.13162118780096,0.8498158689201853,0.5940258333494017
juniperus_btm_heterogeneous_20260824_091248,test,expert_E2_illum_solo,@50,IoU,603,123,87,83.05785123966942,87.39130434782608,85.16949152542372,0.8544758702399472,0.6205587891490565
juniperus_btm_heterogeneous_20260824_091248,test,expert_E2_illum_solo,@50,S-IoU,525,201,44,72.31404958677686,92.2671353251318,81.08108108108108,0.8544758702399472,0.6205587891490565
juniperus_btm_heterogeneous_20260824_091248,test,expert_E2_illum_solo,@75,IoU,528,198,162,72.72727272727273,76.52173913043478,74.57627118644068,0.8544758702399472,0.6205587891490565
juniperus_btm_heterogeneous_20260824_091248,test,expert_E2_illum_solo,@75,S-IoU,443,283,69,61.019283746556475,86.5234375,71.56704361873992,0.8544758702399472,0.6205587891490565
juniperus_btm_heterogeneous_20260824_091248,test,expert_E3_geom_solo,@50,IoU,594,175,96,77.24317295188557,86.08695652173914,81.42563399588761,0.8231632087514643,0.39690648494939484
juniperus_btm_heterogeneous_20260824_091248,test,expert_E3_geom_solo,@50,S-IoU,508,261,27,66.05981794538361,94.95327102803738,77.91411042944785,0.8231632087514643,0.39690648494939484
juniperus_btm_heterogeneous_20260824_091248,test,expert_E3_geom_solo,@75,IoU,330,439,360,42.91287386215865,47.82608695652174,45.23646333104867,0.8231632087514643,0.39690648494939484
juniperus_btm_heterogeneous_20260824_091248,test,expert_E3_geom_solo,@75,S-IoU,415,354,36,53.966189856957094,92.01773835920177,68.0327868852459,0.8231632087514643,0.39690648494939484
