exp,split,mec,suelo,thr,f1,f1_025,delta,exacto,bate_ref
Región 1a ejecución,field_work,Ensemble de expertos,0.25,0.25,80.13917077413744,80.13917077413744,0.0,False,True
Región 1a ejecución,field_work,Ens. pesos por fiabilidad,0.15,0.15,79.91517721902453,75.79092159559835,4.12425562342618,False,True
Región 1a ejecución,field_work,Model merging,0.25,0.25,74.69796341042458,74.69796341042458,0.0,False,False
Región 1a ejecución,field_work,Modelo único,0.25,0.25,76.35792778649922,76.35792778649922,0.0,False,False
Región 1a ejecución,field_work,Ensemble no especializado,0.25,0.3,80.16169154228855,79.92895204262878,0.2327394996597718,True,True
Región 1a ejecución,test,Ensemble de expertos,0.25,0.55,89.3455098934551,83.75,5.595509893455102,True,True
Región 1a ejecución,test,Ens. pesos por fiabilidad,0.15,0.3,89.13043478260869,88.7582659808964,0.3721688017122915,True,True
Región 1a ejecución,test,Model merging,0.25,0.35,88.70229007633587,88.07069219440353,0.6315978819323362,True,True
Región 1a ejecución,test,Modelo único,0.25,0.4,86.66164280331576,84.64730290456431,2.0143398987514445,True,False
Región 1a ejecución,test,Ensemble no especializado,0.25,0.45,88.62275449101796,85.61872909698997,3.004025394027991,True,True
Región canónica,field_work,Ensemble de expertos,0.25,0.25,80.52021487135991,80.52021487135991,0.0,False,True
Región canónica,field_work,Ens. pesos por fiabilidad,0.15,0.15,80.41116005873717,76.2555517594807,4.155608299256471,False,True
Región canónica,field_work,Model merging,0.25,0.25,77.91861240827217,77.91861240827217,0.0,False,True
Región canónica,field_work,Modelo único,0.25,0.25,80.50979173142679,80.50979173142679,0.0,False,True
Región canónica,field_work,Ensemble no especializado,0.25,0.25,77.63347763347764,77.63347763347764,0.0,False,True
Región canónica,test,Ensemble de expertos,0.25,0.55,89.25373134328358,83.80716934487022,5.446561998413358,True,True
Región canónica,test,Ens. pesos por fiabilidad,0.15,0.25,88.42257597684515,88.42257597684515,0.0,True,True
Región canónica,test,Model merging,0.25,0.5,89.28850664581705,87.59744861800142,1.6910580278156289,True,True
Región canónica,test,Modelo único,0.25,0.5,90.03115264797509,86.90807799442896,3.1230746535461265,True,True
Región canónica,test,Ensemble no especializado,0.25,0.5,87.98775822494261,83.87925497752087,4.108503247421737,True,True
