experiment,split,total_gt_shrubs,agreement_histogram,per_expert_solo_recall
juniperus_btm_heterogeneous_20260824_091248,test,690,"{""0"": 36, ""1"": 51, ""2"": 57, ""3"": 546}","{""E1_scale"": 0.8782608695652174, ""E2_illum"": 0.8739130434782608, ""E3_geom"": 0.8608695652173913}"
juniperus_btm_heterogeneous_20260824_091248,field_work,1771,"{""0"": 441, ""1"": 172, ""2"": 196, ""3"": 962}","{""E1_scale"": 0.6448334274421231, ""E2_illum"": 0.6453980801806889, ""E3_geom"": 0.6578204404291361}"
juniperus_btm_homogeneous_20260824_103026,test,690,"{""0"": 48, ""1"": 41, ""2"": 58, ""3"": 543}","{""E1_scale"": 0.8782608695652174, ""E2_illum"": 0.8826086956521739, ""E3_geom"": 0.827536231884058}"
juniperus_btm_homogeneous_20260824_103026,field_work,1771,"{""0"": 468, ""1"": 149, ""2"": 179, ""3"": 975}","{""E1_scale"": 0.6448334274421231, ""E2_illum"": 0.6459627329192547, ""E3_geom"": 0.6470920383963862}"
juniperus_seg_by_region_20260828_114011,test,690,"{""0"": 52, ""1"": 86, ""2"": 552, ""3"": 0}","{""E_region0"": 0.9028985507246376, ""E_region1"": 0.8217391304347826}"
juniperus_seg_by_region_20260828_114011,field_work,1771,"{""0"": 542, ""1"": 354, ""2"": 875, ""3"": 0}","{""E_region0"": 0.6747600225861096, ""E_region1"": 0.5132693393562959}"
juniperus_seg_by_region_20260831_073029,test,690,"{""0"": 52, ""1"": 83, ""2"": 555, ""3"": 0}","{""E_region0"": 0.9057971014492754, ""E_region1"": 0.8231884057971014}"
juniperus_seg_by_region_20260831_073029,field_work,1771,"{""0"": 532, ""1"": 386, ""2"": 853, ""3"": 0}","{""E_region0"": 0.67871259175607, ""E_region1"": 0.502540937323546}"
juniperus_seg_by_size_20260828_072323,test,690,"{""0"": 52, ""1"": 23, ""2"": 28, ""3"": 587}","{""E_small"": 0.8753623188405797, ""E_medium"": 0.9, ""E_large"": 0.8913043478260869}"
juniperus_seg_by_size_20260828_072323,field_work,1771,"{""0"": 489, ""1"": 110, ""2"": 153, ""3"": 1019}","{""E_small"": 0.6380575945793338, ""E_medium"": 0.6538678712591756, ""E_large"": 0.6691134952004517}"
juniperus_seg_by_size_20260828_151237,test,690,"{""0"": 52, ""1"": 23, ""2"": 28, ""3"": 587}","{""E_small"": 0.8753623188405797, ""E_medium"": 0.9, ""E_large"": 0.8913043478260869}"
juniperus_seg_by_size_20260828_151237,field_work,1771,"{""0"": 489, ""1"": 110, ""2"": 153, ""3"": 1019}","{""E_small"": 0.6380575945793338, ""E_medium"": 0.6538678712591756, ""E_large"": 0.6691134952004517}"
juniperus_seg_by_size_20260828_175314,test,690,"{""0"": 52, ""1"": 23, ""2"": 28, ""3"": 587}","{""E_small"": 0.8753623188405797, ""E_medium"": 0.9, ""E_large"": 0.8913043478260869}"
juniperus_seg_by_size_20260828_175314,field_work,1771,"{""0"": 489, ""1"": 110, ""2"": 153, ""3"": 1019}","{""E_small"": 0.6380575945793338, ""E_medium"": 0.6538678712591756, ""E_large"": 0.6691134952004517}"
juniperus_seg_by_size_20260828_180050,test,690,"{""0"": 52, ""1"": 23, ""2"": 28, ""3"": 587}","{""E_small"": 0.8753623188405797, ""E_medium"": 0.9, ""E_large"": 0.8913043478260869}"
juniperus_seg_by_size_20260828_180050,field_work,1771,"{""0"": 489, ""1"": 110, ""2"": 153, ""3"": 1019}","{""E_small"": 0.6380575945793338, ""E_medium"": 0.6538678712591756, ""E_large"": 0.6691134952004517}"
juniperus_seg_by_size_20260828_223540,test,690,"{""0"": 52, ""1"": 23, ""2"": 28, ""3"": 587}","{""E_small"": 0.8753623188405797, ""E_medium"": 0.9, ""E_large"": 0.8913043478260869}"
juniperus_seg_by_size_20260828_223540,field_work,1771,"{""0"": 489, ""1"": 110, ""2"": 153, ""3"": 1019}","{""E_small"": 0.6380575945793338, ""E_medium"": 0.6538678712591756, ""E_large"": 0.6691134952004517}"
juniperus_seg_by_size_20260829_002259,test,690,"{""0"": 52, ""1"": 23, ""2"": 28, ""3"": 587}","{""E_small"": 0.8753623188405797, ""E_medium"": 0.9, ""E_large"": 0.8913043478260869}"
juniperus_seg_by_size_20260829_002259,field_work,1771,"{""0"": 489, ""1"": 110, ""2"": 153, ""3"": 1019}","{""E_small"": 0.6380575945793338, ""E_medium"": 0.6538678712591756, ""E_large"": 0.6691134952004517}"
juniperus_seg_by_size_20260830_163740,test,690,"{""0"": 24, ""1"": 262, ""2"": 385, ""3"": 19}","{""E_small"": 0.2492753623188406, ""E_medium"": 0.7710144927536232, ""E_large"": 0.5579710144927537}"
juniperus_seg_by_size_20260830_163740,field_work,1771,"{""0"": 684, ""1"": 891, ""2"": 196, ""3"": 0}","{""E_small"": 0.1281761716544325, ""E_medium"": 0.37888198757763975, ""E_large"": 0.21739130434782608}"
