split,variante,bucket,metrica,TP,FP,FN,precision,recall,f1
test,dense_baseline,small,IoU,91,66,25,57.961783439490446,78.44827586206897,66.66666666666666
test,dense_baseline,small,S-IoU,104,65,12,61.53846153846154,89.65517241379311,72.98245614035088
test,dense_baseline,medium,IoU,341,80,26,80.9976247030879,92.91553133514986,86.54822335025382
test,dense_baseline,medium,S-IoU,358,82,9,81.36363636363636,97.54768392370572,88.72366790582403
test,dense_baseline,large,IoU,184,27,23,87.20379146919431,88.88888888888889,88.03827751196171
test,dense_baseline,large,S-IoU,205,18,2,91.92825112107623,99.03381642512076,95.34883720930232
test,expert_E_small_solo,small,IoU,61,26,55,70.11494252873564,52.58620689655172,60.09852216748769
test,expert_E_small_solo,small,S-IoU,61,26,55,70.11494252873564,52.58620689655172,60.09852216748769
test,expert_E_small_solo,medium,IoU,14,2,353,87.5,3.8147138964577656,7.310704960835509
test,expert_E_small_solo,medium,S-IoU,14,2,353,87.5,3.8147138964577656,7.310704960835509
test,expert_E_small_solo,large,IoU,0,0,207,0.0,0.0,0.0
test,expert_E_small_solo,large,S-IoU,0,0,207,0.0,0.0,0.0
test,expert_E_medium_solo,small,IoU,28,15,88,65.11627906976744,24.137931034482758,35.22012578616353
test,expert_E_medium_solo,small,S-IoU,38,15,78,71.69811320754717,32.758620689655174,44.97041420118343
test,expert_E_medium_solo,medium,IoU,294,49,73,85.71428571428571,80.10899182561307,82.8169014084507
test,expert_E_medium_solo,medium,S-IoU,297,47,70,86.33720930232558,80.92643051771117,83.54430379746834
test,expert_E_medium_solo,large,IoU,23,1,184,95.83333333333334,11.11111111111111,19.913419913419915
test,expert_E_medium_solo,large,S-IoU,26,1,181,96.29629629629629,12.560386473429952,22.22222222222222
test,expert_E_large_solo,small,IoU,4,2,112,66.66666666666666,3.4482758620689653,6.557377049180328
test,expert_E_large_solo,small,S-IoU,6,2,110,75.0,5.172413793103448,9.67741935483871
test,expert_E_large_solo,medium,IoU,118,16,249,88.05970149253731,32.15258855585831,47.10578842315369
test,expert_E_large_solo,medium,S-IoU,147,18,220,89.0909090909091,40.05449591280654,55.263157894736835
test,expert_E_large_solo,large,IoU,188,35,19,84.30493273542601,90.82125603864735,87.44186046511628
test,expert_E_large_solo,large,S-IoU,201,31,6,86.63793103448276,97.10144927536231,91.57175398633257
test,btm_forest_ensemble_uniform,small,IoU,79,43,37,64.75409836065575,68.10344827586206,66.38655462184873
test,btm_forest_ensemble_uniform,small,S-IoU,89,42,27,67.93893129770993,76.72413793103449,72.06477732793523
test,btm_forest_ensemble_uniform,medium,IoU,331,70,36,82.54364089775561,90.19073569482289,86.19791666666667
test,btm_forest_ensemble_uniform,medium,S-IoU,345,61,22,84.97536945812809,94.00544959128065,89.26261319534281
test,btm_forest_ensemble_uniform,large,IoU,190,38,17,83.33333333333334,91.78743961352657,87.35632183908045
test,btm_forest_ensemble_uniform,large,S-IoU,203,30,4,87.1244635193133,98.06763285024155,92.27272727272727
test,btm_forest_soup,small,IoU,17,1,99,94.44444444444444,14.655172413793101,25.373134328358205
test,btm_forest_soup,small,S-IoU,20,1,96,95.23809523809523,17.24137931034483,29.197080291970806
test,btm_forest_soup,medium,IoU,156,3,211,98.11320754716981,42.50681198910082,59.31558935361216
test,btm_forest_soup,medium,S-IoU,156,3,211,98.11320754716981,42.50681198910082,59.31558935361216
test,btm_forest_soup,large,IoU,0,0,207,0.0,0.0,0.0
test,btm_forest_soup,large,S-IoU,0,0,207,0.0,0.0,0.0
test,random_ensemble,small,IoU,66,16,50,80.48780487804879,56.896551724137936,66.66666666666667
test,random_ensemble,small,S-IoU,73,15,43,82.95454545454545,62.93103448275862,71.56862745098039
test,random_ensemble,medium,IoU,311,50,56,86.14958448753463,84.74114441416893,85.43956043956044
test,random_ensemble,medium,S-IoU,327,50,40,86.73740053050398,89.10081743869209,87.90322580645162
test,random_ensemble,large,IoU,171,16,36,91.44385026737967,82.6086956521739,86.80203045685279
test,random_ensemble,large,S-IoU,184,21,23,89.75609756097562,88.88888888888889,89.32038834951457
field_work,dense_baseline,small,IoU,287,110,335,72.29219143576826,46.141479099678456,56.32973503434741
field_work,dense_baseline,small,S-IoU,388,85,234,82.02959830866807,62.37942122186495,70.86757990867581
field_work,dense_baseline,medium,IoU,636,180,164,77.94117647058823,79.5,78.7128712871287
field_work,dense_baseline,medium,S-IoU,714,154,86,82.25806451612904,89.25,85.61151079136691
field_work,dense_baseline,large,IoU,290,79,59,78.59078590785907,83.0945558739255,80.77994428969359
field_work,dense_baseline,large,S-IoU,329,48,20,87.26790450928382,94.26934097421203,90.633608815427
field_work,expert_E_small_solo,small,IoU,202,56,420,78.29457364341084,32.475884244372985,45.90909090909091
field_work,expert_E_small_solo,small,S-IoU,219,47,403,82.33082706766918,35.20900321543408,49.32432432432432
field_work,expert_E_small_solo,medium,IoU,29,1,771,96.66666666666667,3.6249999999999996,6.987951807228915
field_work,expert_E_small_solo,medium,S-IoU,32,2,768,94.11764705882352,4.0,7.673860911270984
field_work,expert_E_small_solo,large,IoU,0,0,349,0.0,0.0,0.0
field_work,expert_E_small_solo,large,S-IoU,0,0,349,0.0,0.0,0.0
field_work,expert_E_medium_solo,small,IoU,63,5,559,92.64705882352942,10.128617363344052,18.26086956521739
field_work,expert_E_medium_solo,small,S-IoU,117,3,505,97.5,18.810289389067524,31.536388140161726
field_work,expert_E_medium_solo,medium,IoU,513,119,287,81.17088607594937,64.125,71.64804469273743
field_work,expert_E_medium_solo,medium,S-IoU,546,107,254,83.61408882082695,68.25,75.15485203028216
field_work,expert_E_medium_solo,large,IoU,43,8,306,84.31372549019608,12.320916905444127,21.500000000000004
field_work,expert_E_medium_solo,large,S-IoU,47,7,302,87.03703703703704,13.46704871060172,23.325062034739457
field_work,expert_E_large_solo,small,IoU,2,1,620,66.66666666666666,0.3215434083601286,0.64
field_work,expert_E_large_solo,small,S-IoU,49,0,573,100.0,7.877813504823152,14.605067064083457
field_work,expert_E_large_solo,medium,IoU,137,16,663,89.54248366013073,17.125,28.751311647429173
field_work,expert_E_large_solo,medium,S-IoU,237,17,563,93.30708661417323,29.625,44.97153700189753
field_work,expert_E_large_solo,large,IoU,274,96,75,74.05405405405405,78.51002865329512,76.21696801112657
field_work,expert_E_large_solo,large,S-IoU,306,48,43,86.4406779661017,87.67908309455588,87.05547652916074
field_work,btm_forest_ensemble_uniform,small,IoU,239,65,383,78.61842105263158,38.42443729903537,51.61987041036718
field_work,btm_forest_ensemble_uniform,small,S-IoU,328,50,294,86.77248677248677,52.73311897106109,65.60000000000001
field_work,btm_forest_ensemble_uniform,medium,IoU,572,140,228,80.33707865168539,71.5,75.66137566137566
field_work,btm_forest_ensemble_uniform,medium,S-IoU,645,120,155,84.31372549019608,80.625,82.42811501597444
field_work,btm_forest_ensemble_uniform,large,IoU,277,103,72,72.89473684210527,79.36962750716332,75.99451303155007
field_work,btm_forest_ensemble_uniform,large,S-IoU,311,51,38,85.91160220994475,89.11174785100286,87.48241912798875
field_work,btm_forest_soup,small,IoU,30,1,592,96.7741935483871,4.823151125401929,9.188361408882082
field_work,btm_forest_soup,small,S-IoU,32,0,590,100.0,5.144694533762058,9.785932721712538
field_work,btm_forest_soup,medium,IoU,174,9,626,95.08196721311475,21.75,35.40183112919634
field_work,btm_forest_soup,medium,S-IoU,177,11,623,94.14893617021278,22.125,35.82995951417004
field_work,btm_forest_soup,large,IoU,0,0,349,0.0,0.0,0.0
field_work,btm_forest_soup,large,S-IoU,0,0,349,0.0,0.0,0.0
field_work,random_ensemble,small,IoU,132,8,490,94.28571428571428,21.221864951768488,34.645669291338585
field_work,random_ensemble,small,S-IoU,181,7,441,96.27659574468085,29.099678456591636,44.69135802469136
field_work,random_ensemble,medium,IoU,502,89,298,84.94077834179356,62.74999999999999,72.1782890007189
field_work,random_ensemble,medium,S-IoU,551,97,249,85.03086419753086,68.875,76.1049723756906
field_work,random_ensemble,large,IoU,230,30,119,88.46153846153845,65.90257879656161,75.53366174055829
field_work,random_ensemble,large,S-IoU,245,25,104,90.74074074074075,70.20057306590259,79.15993537964458
