experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_uniform,50,0.25,IoU,1225,484,546,71.6793446459918,69.1699604743083,70.40229885057472
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_uniform,50,0.25,S-IoU,1382,327,358,80.86600351082505,79.42528735632183,80.13917077413744
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_uniform,75,0.25,IoU,692,1017,1079,40.49151550614394,39.073969508752114,39.77011494252873
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_uniform,75,0.25,S-IoU,1098,611,457,64.24809830310123,70.61093247588424,67.27941176470588
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_weighted,50,0.25,IoU,1056,190,715,84.75120385232745,59.62732919254658,70.00331455087834
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_weighted,50,0.25,S-IoU,1102,144,560,88.4430176565008,66.30565583634176,75.79092159559835
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_weighted,75,0.25,IoU,634,612,1137,50.88282504012841,35.798983625070576,42.02850513755386
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_ensemble_weighted,75,0.25,S-IoU,926,320,642,74.31781701444623,59.05612244897959,65.8137882018479
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_soup,50,0.25,IoU,1067,173,704,86.04838709677419,60.24844720496895,70.87346396545998
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_soup,50,0.25,S-IoU,1082,158,575,87.25806451612902,65.29873264936631,74.69796341042458
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_soup,75,0.25,IoU,738,502,1033,59.51612903225807,41.67137210615471,49.02025905014946
juniperus_seg_by_region_20260828_114011,field_work,btm_forest_soup,75,0.25,S-IoU,939,301,638,75.7258064516129,59.5434369055168,66.66666666666666
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,50,0.25,IoU,1155,388,616,74.85418016850292,65.21739130434783,69.70428485214242
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,50,0.25,S-IoU,1216,327,426,78.80751782242385,74.05602923264311,76.35792778649922
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,75,0.25,IoU,659,884,1112,42.70900842514583,37.21061547148504,39.77066988533495
juniperus_seg_by_region_20260828_114011,field_work,dense_baseline,75,0.25,S-IoU,1000,543,509,64.80881399870383,66.26905235255136,65.53079947575361
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region0_solo,50,0.25,IoU,1195,349,576,77.39637305699482,67.47600225861096,72.09653092006032
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region0_solo,50,0.25,S-IoU,1269,275,388,82.18911917098445,76.58418829209414,79.28772258669167
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region0_solo,75,0.25,IoU,665,879,1106,43.06994818652849,37.54940711462451,40.12066365007541
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region0_solo,75,0.25,S-IoU,1039,505,501,67.29274611398964,67.46753246753246,67.38002594033722
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region1_solo,50,0.25,IoU,909,166,862,84.55813953488372,51.32693393562959,63.87912860154604
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region1_solo,50,0.25,S-IoU,954,121,706,88.74418604651163,57.46987951807229,69.76234003656306
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region1_solo,75,0.25,IoU,561,514,1210,52.18604651162791,31.67701863354037,39.42375263527758
juniperus_seg_by_region_20260828_114011,field_work,expert_E_region1_solo,75,0.25,S-IoU,817,258,773,76.0,51.38364779874214,61.31332082551595
juniperus_seg_by_region_20260828_114011,field_work,random_ensemble,50,0.25,IoU,1208,515,563,70.11027278003482,68.21005081874647,69.14710933028049
juniperus_seg_by_region_20260828_114011,field_work,random_ensemble,50,0.25,S-IoU,1350,373,305,78.35171213000581,81.57099697885197,79.92895204262878
juniperus_seg_by_region_20260828_114011,field_work,random_ensemble,75,0.25,IoU,626,1097,1145,36.3319791062101,35.347261434217955,35.832856325128795
juniperus_seg_by_region_20260828_114011,field_work,random_ensemble,75,0.25,S-IoU,1121,602,383,65.06094022054556,74.5345744680851,69.47629377130463
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,50,0.25,IoU,638,271,52,70.18701870187019,92.46376811594205,79.79987492182615
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,50,0.25,S-IoU,670,239,21,73.7073707370737,96.96092619392184,83.75
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,75,0.25,IoU,504,405,186,55.44554455445545,73.04347826086956,63.03939962476549
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_uniform,75,0.25,S-IoU,597,312,39,65.67656765676567,93.86792452830188,77.28155339805825
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,50,0.25,IoU,591,104,99,85.03597122302158,85.65217391304348,85.34296028880865
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,50,0.25,S-IoU,604,91,62,86.90647482014388,90.69069069069069,88.7582659808964
juniperus_seg_by_region_20260828_114011,test,btm_forest_ensemble_weighted,75,0.25,IoU,484,211,206,69.64028776978417,70.14492753623188,69.89169675090253
