experiment,split,mechanism,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_uniform,50,0.25,IoU,1278,610,493,67.6906779661017,72.16261998870695,69.8551516807871
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_uniform,50,0.25,S-IoU,1493,395,280,79.07838983050848,84.20755781161873,81.56241464080853
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_uniform,75,0.25,IoU,704,1184,1067,37.28813559322034,39.75155279503105,38.48045914184203
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_uniform,75,0.25,S-IoU,1213,675,351,64.24788135593221,77.55754475703324,70.27809965237543
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_weighted,50,0.25,IoU,699,57,1072,92.46031746031747,39.46922642574817,55.32251681836169
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_weighted,50,0.25,S-IoU,711,45,942,94.04761904761905,43.01270417422868,59.02864259028643
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_weighted,75,0.25,IoU,496,260,1275,65.60846560846561,28.00677583286279,39.25603482390186
juniperus_seg_heterogeneous_20260905_111758,field_work,btm_forest_ensemble_weighted,75,0.25,S-IoU,664,92,968,87.83068783068782,40.68627450980392,55.61139028475712
juniperus_seg_heterogeneous_20260905_111758,field_work,dense_baseline,50,0.25,IoU,1078,301,693,78.1725888324873,60.86956521739131,68.44444444444446
juniperus_seg_heterogeneous_20260905_111758,field_work,dense_baseline,50,0.25,S-IoU,1128,251,532,81.79840464104423,67.95180722891565,74.23494570582429
juniperus_seg_heterogeneous_20260905_111758,field_work,dense_baseline,75,0.25,IoU,602,777,1169,43.65482233502538,33.99209486166008,38.22222222222222
juniperus_seg_heterogeneous_20260905_111758,field_work,dense_baseline,75,0.25,S-IoU,923,456,615,66.93255982596084,60.01300390117035,63.28419609187521
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E1_scale_solo,50,0.25,IoU,875,202,896,81.24419684308263,49.40711462450593,61.44662921348314
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E1_scale_solo,50,0.25,S-IoU,956,121,648,88.76508820798514,59.60099750623441,71.31667288325252
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E1_scale_solo,75,0.25,IoU,531,546,1240,49.30362116991643,29.983060417843028,37.28932584269663
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E1_scale_solo,75,0.25,S-IoU,817,260,711,75.85886722376974,53.468586387434556,62.72552783109404
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E2_illum_solo,50,0.25,IoU,1171,299,600,79.65986394557824,66.12083568605308,72.2616476396174
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E2_illum_solo,50,0.25,S-IoU,1235,235,375,84.01360544217688,76.70807453416148,80.1948051948052
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E2_illum_solo,75,0.25,IoU,678,792,1093,46.12244897959184,38.28345567476003,41.838938599197775
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E2_illum_solo,75,0.25,S-IoU,1063,407,459,72.31292517006803,69.84231274638634,71.05614973262033
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E3_geom_solo,50,0.25,IoU,1171,342,600,77.39590218109716,66.12083568605308,71.31546894031669
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E3_geom_solo,50,0.25,S-IoU,1266,247,346,83.67481824190351,78.53598014888338,81.024
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E3_geom_solo,75,0.25,IoU,659,854,1112,43.55584930601454,37.210615471485035,40.133982947624844
juniperus_seg_heterogeneous_20260905_111758,field_work,expert_E3_geom_solo,75,0.25,S-IoU,1073,440,426,70.91870456047587,71.58105403602401,71.24833997343957
juniperus_seg_heterogeneous_20260905_111758,field_work,random_ensemble,50,0.25,IoU,1330,767,441,63.42393896041965,75.09881422924902,68.7693898655636
juniperus_seg_heterogeneous_20260905_111758,field_work,random_ensemble,50,0.25,S-IoU,1645,452,228,78.44539818788746,87.82701548318205,82.87153652392948
juniperus_seg_heterogeneous_20260905_111758,field_work,random_ensemble,75,0.25,IoU,717,1380,1054,34.19170243204578,40.48560135516657,37.073422957600826
juniperus_seg_heterogeneous_20260905_111758,field_work,random_ensemble,75,0.25,S-IoU,1268,829,317,60.46733428707678,80.0,68.87561108093429
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_uniform,50,0.25,IoU,647,291,43,68.97654584221749,93.76811594202898,79.48402948402948
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_uniform,50,0.25,S-IoU,707,231,17,75.3731343283582,97.65193370165746,85.07821901323706
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_uniform,75,0.25,IoU,515,423,175,54.90405117270789,74.63768115942028,63.26781326781327
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_uniform,75,0.25,S-IoU,634,304,31,67.590618336887,95.33834586466166,79.10168434185901
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_weighted,50,0.25,IoU,475,26,215,94.81037924151696,68.84057971014492,79.7649034424853
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_weighted,50,0.25,S-IoU,482,19,179,96.20758483033931,72.91981845688352,82.960413080895
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_weighted,75,0.25,IoU,421,80,269,84.03193612774452,61.01449275362319,70.69689336691856
juniperus_seg_heterogeneous_20260905_111758,test,btm_forest_ensemble_weighted,75,0.25,S-IoU,461,40,189,92.01596806387225,70.92307692307692,80.10425716768027
juniperus_seg_heterogeneous_20260905_111758,test,dense_baseline,50,0.25,IoU,585,123,105,82.62711864406779,84.78260869565217,83.69098712446352
juniperus_seg_heterogeneous_20260905_111758,test,dense_baseline,50,0.25,S-IoU,587,121,60,82.90960451977402,90.72642967542504,86.64206642066421
juniperus_seg_heterogeneous_20260905_111758,test,dense_baseline,75,0.25,IoU,474,234,216,66.94915254237289,68.69565217391305,67.81115879828327
juniperus_seg_heterogeneous_20260905_111758,test,dense_baseline,75,0.25,S-IoU,532,176,78,75.14124293785311,87.21311475409837,80.72837632776935
juniperus_seg_heterogeneous_20260905_111758,test,expert_E1_scale_solo,50,0.25,IoU,553,79,137,87.5,80.14492753623188,83.66111951588502
juniperus_seg_heterogeneous_20260905_111758,test,expert_E1_scale_solo,50,0.25,S-IoU,574,58,86,90.82278481012658,86.96969696969697,88.85448916408669
juniperus_seg_heterogeneous_20260905_111758,test,expert_E1_scale_solo,75,0.25,IoU,444,188,246,70.25316455696202,64.34782608695652,67.17095310136156
juniperus_seg_heterogeneous_20260905_111758,test,expert_E1_scale_solo,75,0.25,S-IoU,528,104,96,83.54430379746836,84.61538461538461,84.07643312101911
juniperus_seg_heterogeneous_20260905_111758,test,expert_E2_illum_solo,50,0.25,IoU,618,154,72,80.05181347150258,89.56521739130436,84.54172366621067
juniperus_seg_heterogeneous_20260905_111758,test,expert_E2_illum_solo,50,0.25,S-IoU,627,145,27,81.21761658031087,95.87155963302753,87.9382889200561
juniperus_seg_heterogeneous_20260905_111758,test,expert_E2_illum_solo,75,0.25,IoU,500,272,190,64.76683937823834,72.46376811594203,68.39945280437756
juniperus_seg_heterogeneous_20260905_111758,test,expert_E2_illum_solo,75,0.25,S-IoU,583,189,40,75.51813471502591,93.57945425361156,83.584229390681
juniperus_seg_heterogeneous_20260905_111758,test,expert_E3_geom_solo,50,0.25,IoU,624,161,66,79.49044585987262,90.43478260869566,84.61016949152544
juniperus_seg_heterogeneous_20260905_111758,test,expert_E3_geom_solo,50,0.25,S-IoU,629,156,28,80.12738853503186,95.73820395738204,87.23994452149793
juniperus_seg_heterogeneous_20260905_111758,test,expert_E3_geom_solo,75,0.25,IoU,506,279,184,64.45859872611464,73.33333333333333,68.61016949152543
juniperus_seg_heterogeneous_20260905_111758,test,expert_E3_geom_solo,75,0.25,S-IoU,584,201,51,74.39490445859872,91.96850393700787,82.25352112676056
