model,label,split,geometry,overlap,score_thr,metric,TP,FP,FN,precision,recall,f1
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.25,IoU,613,176,77,77.69328263624841,88.84057971014492,82.89384719405002
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.25,S-IoU,531,258,24,67.30038022813687,95.67567567567568,79.01785714285714
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.3,IoU,606,150,84,80.15873015873017,87.82608695652175,83.81742738589212
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.3,S-IoU,522,234,29,69.04761904761905,94.73684210526315,79.87758224942615
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.35,IoU,599,123,91,82.96398891966759,86.81159420289855,84.8441926345609
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.35,S-IoU,515,207,36,71.32963988919667,93.46642468239564,80.91123330714845
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.4,IoU,593,102,97,85.32374100719424,85.94202898550725,85.63176895306859
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.4,S-IoU,509,186,44,73.23741007194245,92.04339963833634,81.5705128205128
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.45,IoU,584,82,106,87.68768768768768,84.63768115942028,86.13569321533923
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.45,S-IoU,500,166,56,75.07507507507508,89.92805755395683,81.8330605564648
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.5,IoU,576,70,114,89.1640866873065,83.47826086956522,86.22754491017963
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.5,S-IoU,496,150,61,76.78018575851394,89.04847396768402,82.46051537822112
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.55,IoU,568,56,122,91.02564102564102,82.31884057971014,86.45357686453576
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.55,S-IoU,488,136,71,78.2051282051282,87.29874776386404,82.50211327134404
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.6,IoU,557,36,133,93.929173693086,80.72463768115942,86.8277474668745
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.6,S-IoU,478,115,89,80.6070826306914,84.30335097001763,82.41379310344827
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.7,IoU,503,18,187,96.54510556621881,72.89855072463767,83.07184145334435
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.7,S-IoU,440,81,148,84.45297504798465,74.82993197278913,79.35076645626691
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.8,IoU,382,5,308,98.70801033591732,55.362318840579704,70.93779015784587
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.8,S-IoU,340,47,286,87.85529715762273,54.31309904153354,67.12734452122409
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.9,IoU,101,0,589,100.0,14.637681159420291,25.537294563843233
yolo_dense_baseline,YOLOv8n-seg (denso),test,bbox,50,0.9,S-IoU,94,7,582,93.06930693069307,13.905325443786982,24.195624195624195
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.25,IoU,1233,349,538,77.93931731984829,69.62168266516092,73.54607813898001
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.25,S-IoU,1006,576,316,63.59039190897599,76.09682299546142,69.28374655647383
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.3,IoU,1201,280,570,81.0938555030385,67.81479390175042,73.86223862238623
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.3,S-IoU,967,514,362,65.29372045914921,72.76147479307751,68.8256227758007
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.35,IoU,1165,229,606,83.57245337159253,65.78204404291361,73.6176935229068
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.35,S-IoU,939,455,395,67.36011477761836,70.38980509745127,68.841642228739
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.4,IoU,1124,183,647,85.99846977811782,63.466967814793904,73.03443794671865
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.4,S-IoU,901,406,445,68.93649579188983,66.93907875185735,67.92310591782889
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.45,IoU,1083,148,688,87.97725426482535,61.1518915866742,72.15189873417721
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.45,S-IoU,858,373,501,69.69943135662064,63.13465783664459,66.25482625482626
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.5,IoU,1045,128,726,89.08780903665814,59.006211180124225,70.99184782608695
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.5,S-IoU,825,348,537,70.33248081841433,60.57268722466961,65.08875739644971
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.55,IoU,1004,105,767,90.53201082055907,56.69113495200452,69.72222222222221
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.55,S-IoU,791,318,583,71.32551848512173,57.56914119359534,63.71325010068465
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.6,IoU,940,83,831,91.88660801564026,53.077357425183514,67.28704366499643
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.6,S-IoU,741,282,656,72.43401759530792,53.04223335719399,61.239669421487605
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.7,IoU,766,45,1005,94.45129469790382,43.25239977413891,59.33384972889234
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.7,S-IoU,622,189,886,76.69543773119607,41.246684350132625,53.64381198792584
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.8,IoU,527,17,1244,96.875,29.757199322416717,45.52915766738661
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.8,S-IoU,448,96,1154,82.35294117647058,27.965043695380775,41.752096924510724
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.9,IoU,94,0,1677,100.0,5.307735742518351,10.080428954423592
yolo_dense_baseline,YOLOv8n-seg (denso),field_work,bbox,50,0.9,S-IoU,85,9,1672,90.42553191489363,4.837791690381332,9.184224743381955
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.25,IoU,599,152,91,79.76031957390146,86.81159420289855,83.13671061762665
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.25,S-IoU,533,218,52,70.97203728362183,91.11111111111111,79.79041916167664
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.3,IoU,586,113,104,83.8340486409156,84.92753623188406,84.3772498200144
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.3,S-IoU,518,181,61,74.10586552217453,89.46459412780656,81.0641627543036
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.35,IoU,566,88,124,86.54434250764525,82.02898550724638,84.22619047619047
yolo_btm_forest_ensemble_uniform,YOLOv8n-seg (ensemble),test,bbox,50,0.35,S-IoU,500,154,81,76.45259938837921,86.05851979345955,80.97165991902835
